 2.50  3100.  0.0  2.0   0.6570   0.2832   0.1385   0.1216 PC KEPLER
 3.00  3100.  0.0  2.0   0.4612   0.3972   0.1008   0.1562 PC KEPLER
 3.50  3100.  0.0  2.0   0.3761   0.4244   0.0799   0.1617 PC KEPLER
 4.00  3100.  0.0  2.0   0.3274   0.4424   0.0589   0.1750 PC KEPLER
 4.50  3100.  0.0  2.0   0.3103   0.4511   0.0458   0.1816 PC KEPLER
 5.00  3100.  0.0  2.0   0.3152   0.4542   0.0335   0.1882 PC KEPLER
 5.50  3100.  0.0  2.0   0.3444   0.4436   0.0248   0.1844 PC KEPLER
 6.00  3100.  0.0  2.0   0.3861   0.4266   0.0185   0.1707 PC KEPLER
 2.50  3200.  0.0  2.0   0.6604   0.2618   0.1382   0.1497 PC KEPLER
 3.00  3200.  0.0  2.0   0.5372   0.3331   0.1042   0.1375 PC KEPLER
 3.50  3200.  0.0  2.0   0.4174   0.3921   0.0843   0.1558 PC KEPLER
 4.00  3200.  0.0  2.0   0.3499   0.4171   0.0621   0.1640 PC KEPLER
 4.50  3200.  0.0  2.0   0.3114   0.4361   0.0480   0.1752 PC KEPLER
 5.00  3200.  0.0  2.0   0.3014   0.4437   0.0348   0.1807 PC KEPLER
 5.50  3200.  0.0  2.0   0.3145   0.4436   0.0254   0.1824 PC KEPLER
 6.00  3200.  0.0  2.0   0.3450   0.4363   0.0187   0.1733 PC KEPLER
 2.50  3300.  0.0  2.0   0.6932   0.1888   0.1517   0.1303 PC KEPLER
 3.00  3300.  0.0  2.0   0.6030   0.2531   0.1114   0.1245 PC KEPLER
 3.50  3300.  0.0  2.0   0.4717   0.3361   0.0872   0.1368 PC KEPLER
 4.00  3300.  0.0  2.0   0.3799   0.3849   0.0650   0.1496 PC KEPLER
 4.50  3300.  0.0  2.0   0.3237   0.4142   0.0501   0.1596 PC KEPLER
 5.00  3300.  0.0  2.0   0.2943   0.4341   0.0362   0.1719 PC KEPLER
 5.50  3300.  0.0  2.0   0.2898   0.4444   0.0267   0.1779 PC KEPLER
 6.00  3300.  0.0  2.0   0.3017   0.4514   0.0194   0.1776 PC KEPLER
 2.50  3400.  0.0  2.0   0.7267   0.1230   0.1586   0.1249 PC KEPLER
 3.00  3400.  0.0  2.0   0.6381   0.1763   0.1169   0.1153 PC KEPLER
 3.50  3400.  0.0  2.0   0.5190   0.2777   0.0894   0.1232 PC KEPLER
 4.00  3400.  0.0  2.0   0.4113   0.3482   0.0662   0.1305 PC KEPLER
 4.50  3400.  0.0  2.0   0.3358   0.3954   0.0509   0.1466 PC KEPLER
 5.00  3400.  0.0  2.0   0.2898   0.4249   0.0374   0.1625 PC KEPLER
 5.50  3400.  0.0  2.0   0.2685   0.4461   0.0274   0.1757 PC KEPLER
 6.00  3400.  0.0  2.0   0.2633   0.4633   0.0199   0.1825 PC KEPLER
 2.50  3500.  0.0  2.0   0.7696   0.0593   0.1626   0.1113 PC KEPLER
 3.00  3500.  0.0  2.0   0.7020   0.1009   0.1196   0.1041 PC KEPLER
 3.50  3500.  0.0  2.0   0.5607   0.2190   0.0918   0.1058 PC KEPLER
 4.00  3500.  0.0  2.0   0.4330   0.3186   0.0670   0.1192 PC KEPLER
 4.50  3500.  0.0  2.0   0.3450   0.3792   0.0521   0.1358 PC KEPLER
 5.00  3500.  0.0  2.0   0.2872   0.4159   0.0382   0.1537 PC KEPLER
 5.50  3500.  0.0  2.0   0.2523   0.4440   0.0281   0.1720 PC KEPLER
 6.00  3500.  0.0  2.0   0.2347   0.4675   0.0204   0.1867 PC KEPLER
 2.50  3600.  0.0  2.0   0.8064   0.0229   0.1653   0.0946 PC KEPLER
 3.00  3600.  0.0  2.0   0.7670   0.0230   0.1210   0.0884 PC KEPLER
 3.50  3600.  0.0  2.0   0.6104   0.1666   0.0927   0.0922 PC KEPLER
